Индекс(i)	Узел(xi)	Числ.реш(vi)	Точн.реш(ui)	Погрешность|vi-ui|	Невязка(ri)
154	0.1503906250	12.0355606079	12.0355606079	0.0000000000	0.0000000000
155	0.1513671875	12.0620822907	12.0620822906	0.0000000000	0.0000000298
156	0.1523437500	12.0887756348	12.0887756348	0.0000000000	0.0000000000
157	0.1533203125	12.1156406403	12.1156406403	0.0000000000	0.0000000596
158	0.1542968750	12.1426773071	12.1426773071	0.0000000000	0.0000000298
159	0.1552734375	12.1698856354	12.1698856354	0.0000000000	0.0000000000
160	0.1562500000	12.1972656250	12.1972656250	0.0000000000	0.0000000298
161	0.1572265625	12.2248172760	12.2248172760	0.0000000000	0.0000000596
162	0.1582031250	12.2525405884	12.2525405884	0.0000000000	0.0000000596
163	0.1591796875	12.2804355621	12.2804355621	0.0000000000	0.0000000596
164	0.1601562500	12.3085021973	12.3085021973	0.0000000000	0.0000000298
165	0.1611328125	12.3367404938	12.3367404938	0.0000000000	0.0000000000
166	0.1621093750	12.3651504517	12.3651504517	0.0000000000	0.0000000298
167	0.1630859375	12.3937320709	12.3937320709	0.0000000000	0.0000000298
168	0.1640625000	12.4224853516	12.4224853516	0.0000000000	0.0000000298
169	0.1650390625	12.4514102936	12.4514102936	0.0000000000	0.0000000298
